34,67,82
33,40,76
67,28,71
20,77,91
29,3,7
39,62,24
53,71,20
62,67,7
63,82,59
90,41,13
98,12,89
68,47,46
0,30,71
1,52,0
4,62,54
84,1,62
26,14,22
53,16,7
47,32,4
78,22,41
55,16,59
55,70,22
3,19,36
69,54,84
53,65,39
93,33,36
54,95,30
8,36,73
60,67,23
31,61,6
82,19,41
96,57,25
23,65,84
18,56,31
88,47,45
68,72,46
65,97,1
40,51,25
63,76,54
1,62,97
41,4,76
75,52,37
41,17,23
15,61,91
1,86,42
61,93,85
36,98,43
58,4,94
34,29,11
98,24,88
86,83,18
88,42,47
10,23,71
61,48,35
71,96,70
51,36,58
25,47,29
72,39,60
55,77,92
32,23,40
13,35,19
65,10,22
3,4,89
21,52,77
5,95,50
90,90,45
12,70,57
64,72,44
39,81,52
26,74,19
51,98,95
93,78,58
78,7,82
53,78,51
63,69,12
97,43,65
10,31,64
10,65,25
14,42,46
0,5,46
68,14,18
3,98,91
11,93,21
86,91,71
97,25,89
0,6,36
11,67,69
46,95,68
66,71,27
83,10,36
12,4,26
53,41,24
64,34,60
75,29,19
11,100,81
41,11,56
99,93,16
52,38,73
95,97,97
72,40,76
